paramNames,TEST
modeltype,RMIP
cplexfile,input/data_eapp/cplex/cplex_rmip_fast.opt
pSettings,input/data_eapp/pSettings.csv
y,input/data_eapp/y.csv
zcmap,input/data_eapp/zcmap.csv
pHours,input/data_eapp/pHours.csv
pDemandProfile,input/data_eapp/load/pDemandProfile.csv
pDemandData,input/data_eapp/load/pDemandData.csv
pDemandForecast,input/data_eapp/load/pDemandForecast.csv
sRelevant,input/data_eapp/load/sRelevant.csv
pEnergyEfficiencyFactor,input/data_eapp/load/pEnergyEfficiencyFactor.csv
pGenDataInput,input/data_eapp/supply/pGenDataInput_TEST.csv
pGenDataInputDefault,input/data_eapp/supply/pGenDataInputDefault.csv
pAvailability,input/data_eapp/supply/pAvailabilityCustom.csv
pAvailabilityDefault,input/data_eapp/supply/pAvailabilityDefault.csv
pEvolutionAvailability,input/data_eapp/supply/pEvolutionAvailability.csv
pCapexTrajectories,input/data_eapp/supply/pCapexTrajectoriesCustom.csv
pCapexTrajectoriesDefault,input/data_eapp/supply/pCapexTrajectoriesDefault.csv
pCSPData,input/data_eapp/supply/pCSPData.csv
pFuelPrice,input/data_eapp/supply/pFuelPrice.csv
pVREgenProfile,input/data_eapp/supply/pVREgenProfile.csv
pVREProfile,input/data_eapp/supply/pVREProfile.csv
pStorageDataInput,input/data_eapp/supply/pStorageDataInput.csv
pPlanningReserveMargin,input/data_eapp/reserve/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,input/data_eapp/reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,input/data_eapp/reserve/pSpinningReserveReqSystem.csv
pEmissionsTotal,input/data_eapp/constraint/pEmissionsTotal.csv
pEmissionsCountry,input/data_eapp/constraint/pEmissionsCountry.csv
pMaxFuellimit,input/data_eapp/constraint/pMaxFuellimit.csv
pCarbonPrice,input/data_eapp/constraint/pCarbonPrice.csv
zext,input/data_eapp/trade/zext.csv
pExtTransferLimit,input/data_eapp/trade/pExtTransferLimit.csv
pLossFactorInternal,input/data_eapp/trade/pLossFactorInternal.csv
pMaxAnnualExternalTradeShare,input/data_eapp/trade/pMaxAnnualExternalTradeShare.csv
pMinImport,input/data_eapp/trade/pMinImport.csv
pNewTransmission,input/data_eapp/trade/pNewTransmission.csv
pTradePrice,input/data_eapp/trade/pTradePrice.csv
pTransferLimit,input/data_eapp/trade/pTransferLimit.csv
pH2DataExcel,input/data_eapp/h2/pH2DataExcel.csv
pAvailabilityH2,input/data_eapp/h2/pAvailabilityH2.csv
pCapexTrajectoryH2,input/data_eapp/h2/pCapexTrajectoryH2.csv
pExternalH2,input/data_eapp/h2/pExternalH2.csv
pFuelDataH2,input/data_eapp/h2/pFuelDataH2.csv
