z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,,,
South_Africa,Peak,33873,34554,35245,35952,36669,37372,38079,38753,39474,40200,40933,41687,42476,43281,44101,44936,45787,46655,47538,48439,49356,50291,51244,52214,53203,54211,55238,56284.33385,57350.48765,58436.83684,59543.76396,60671.65881,,,
Lesotho,Peak,204,214.2,224.4,234.6,244.8,251.94,259.08,265.2,273.36,280.5,287.64,295.8,305.5033944,315.525098,325.8755526,336.5655425,347.6062058,359.0090459,370.7859437,382.9491697,395.5113969,408.4857143,421.8856399,435.7251353,450.0186202,464.7809872,480.0276175,495.7743967,512.0377318,528.8345676,546.1824053,564.0993198,,,
Eswatini,Peak,260,270,280,290,300,309,318,327,336,346,356,366,377.3052233,388.959649,400.9740635,413.3595863,426.1276804,439.2901629,452.8592159,466.8473978,481.2676549,496.1333333,511.4581916,527.2564132,543.5426194,560.3318837,577.6397445,595.4822208,613.8758259,632.8375836,652.3850432,672.5362962,,,
Zimbabwe,Peak,1841,1929.086124,2017.172249,2105.258373,2210.961722,2298.736629,2389.438743,2480.896968,2578.010031,2678.447288,2782.352906,2890.769181,3010.090797,3134.337623,3263.712957,3398.428487,3538.704639,3684.770938,3836.866381,3995.239834,4160.150431,4331.868004,4510.673525,4696.85956,4890.730753,5092.604323,5302.810582,5521.693476,5749.61115,5986.936528,6234.057932,6491.37971,,,
Botswana,Peak,675.05,703.9807143,732.9114286,761.8421429,790.7728571,822.7771431,856.0065524,889.5805914,925.1876227,962.0825685,1000.285788,1040.168501,1081.578366,1124.636787,1169.409396,1215.964435,1264.372863,1314.708467,1367.047967,1421.471141,1478.060941,1536.903623,1598.088874,1661.709955,1727.863837,1796.651353,1868.177351,1942.55085,2019.885213,2100.298313,2183.912716,2270.85587,,,
Namibia,Peak,672.0808558,682.263899,692.4469423,702.6299856,712.8130288,721.9583503,731.3487396,739.7916544,749.0095596,758.2500242,767.4352405,776.8774367,787.0322339,797.3197674,807.7417724,818.3000066,828.9962506,839.8323084,850.8100075,861.9311994,873.1977598,884.6115887,896.1746112,907.8887774,919.756063,931.7784694,943.9580243,956.2967818,968.7968229,981.4602557,994.2892161,1007.285868,,,
Zambia,Peak,2285.723187,2369.347206,2462.262783,2555.178359,2648.093936,2727.569207,2808.658129,2888.270009,2973.075413,3059.726732,3148.308108,3240.08975,3343.103895,3449.393231,3559.06189,3672.21731,3788.97035,3909.43539,4033.730448,4161.977295,4294.301572,4430.832915,4571.705082,4717.056084,4867.028318,5021.768711,5181.42886,5346.165181,5516.139064,5691.51703,5872.470894,6059.177935,,,
Angola_North,Peak,2034.94725,2375.80875,2521.65375,3072.27375,3248.1225,3373.88625,3499.72875,3625.65,3751.335,3876.78375,4000.6575,4125.555,4249.35,6293.62125,6467.18625,6639.17625,6809.5125,6980.95125,7152.15375,7323.2775,7494.48,7665.6825,7836.80625,8008.00875,8179.1325,8350.335,8521.45875,8968.133089,9438.221024,9932.949842,10453.61114,11001.56426,,,
Angola_East,Peak,65.118312,76.02588,80.69292,98.31276,103.93992,107.96436,111.99132,116.0208,120.04272,124.05708,128.02104,132.01776,135.9792,201.39588,206.94996,212.45364,217.9044,223.39044,228.86892,234.34488,239.82336,245.30184,250.7778,256.25628,261.73224,267.21072,272.68668,286.9802589,302.0230728,317.8543949,334.5155566,352.0500563,,,
Angola_Central,Peak,329.46765,384.65475,408.26775,497.41575,525.8865,546.24825,566.62275,587.01,607.359,627.66975,647.7255,667.947,687.99,1018.96725,1047.06825,1074.91425,1102.4925,1130.24925,1157.96775,1185.6735,1213.392,1241.1105,1268.81625,1296.53475,1324.2405,1351.959,1379.66475,1451.983453,1528.092928,1608.191879,1692.489423,1781.205642,,,
Angola_South,Peak,154.526788,180.41062,191.48558,233.29774,246.65108,256.20114,265.75718,275.3192,284.86328,294.38942,303.79596,313.28024,322.6808,477.91562,491.09554,504.15586,517.0906,530.10906,543.10958,556.10412,569.10464,582.10516,595.0997,608.10022,621.09476,634.09528,647.08982,681.0087095,716.7055457,754.2735245,793.8107256,835.4203717,,,
Tanzania,Peak,1890.203,1978.806266,2067.409531,2156.012797,2259.383273,2360.642848,2465.347949,2571.639213,2685.035813,2802.786487,2925.233999,3053.590554,3188.978243,3330.368643,3478.0279,3632.233957,3793.27708,3961.460406,4137.100511,4320.528009,4512.08817,4712.141575,4921.06479,5139.251077,5367.111136,5605.073874,5853.587217,6113.118948,6384.157592,6667.213333,6962.818977,7271.53095,,,
DRC,Peak,929.5326948,966.7574505,1005.427748,1045.644858,1087.470653,1130.969479,1176.208258,1223.256588,1272.186852,1323.074326,1375.997299,1431.037191,1483.291492,1537.453857,1593.593961,1651.784019,1712.098887,1774.616151,1839.416232,1906.582487,1976.201317,2048.362277,2123.158194,2200.685282,2281.043271,2364.33553,2450.669205,2543.568161,2639.988693,2740.064294,2843.93352,2951.740177,,,
Malawi,Peak,386.74,396.9173684,407.0947368,417.2721053,427.4494737,442.5062646,457.7974947,472.9760873,489.204733,505.8414252,522.9514674,540.7569625,557.7406796,575.2578095,593.3251051,611.9598458,631.1798534,651.0035095,671.4497732,692.5381989,714.2889552,736.722844,759.8613207,783.7265145,808.3412497,833.7290673,859.9142478,886.9218341,914.7776559,943.5083538,973.1414054,1003.705151,,,
DRC_South,Peak,2010,2087.734807,2165.469613,2243.20442,2320.939227,2407.558011,2497.508287,2587.458564,2682.961326,2781.79558,2882.850829,2988.348066,3097.467549,3210.571528,3327.805498,3449.320263,3575.272139,3705.823145,3841.141219,3981.400431,4126.781205,4277.470557,4433.662327,4595.557438,4763.364146,4937.298313,5117.583684,5304.452172,5498.14416,5698.908808,5907.004374,6122.698547,,,
South_Africa,Energy,210648,215421.5416,219727.3587,224688.334,228057.8423,232433.3021,236829.3969,241020.8622,245502.9358,250021.1205,254579.7151,259266.4182,264114.34,269052.9112,274083.8268,279208.8136,284429.6305,289748.0694,295165.9557,300685.149,306307.5435,312035.069,317869.6912,323813.4128,329868.2738,336036.3522,342319.7651,348720.6691,355241.2611,361883.7791,368650.503,375543.7552,,,
Lesotho,Energy,1043,1077,1109,1143,1171,1204,1237,1270,1305,1342,1378,1415,1454.154373,1494.392183,1535.743412,1578.238867,1621.910212,1666.789983,1712.91162,1760.309485,1809.018894,1859.076137,1910.518512,1963.384345,2017.713024,2073.54503,2130.921959,2189.886561,2250.482769,2312.755731,2376.751843,2442.518788,,,
Eswatini,Energy,1352,1391.629175,1428.493524,1479.182004,1516.046353,1560.283572,1607.285617,1652.444444,1700.368098,1750.134969,1799.90184,1852.433538,1906.182799,1961.491621,2018.405255,2076.970266,2137.23457,2199.247471,2263.059707,2328.723486,2396.292532,2465.822127,2537.369156,2610.992157,2686.751366,2764.708765,2844.928136,2927.475111,3012.417227,3099.823979,3189.766881,3282.31952,,,
Zimbabwe,Energy,11302.30181,11795.41443,12272.29419,12800.12182,13256.79015,13783.09713,14326.95395,14875.34915,15457.65001,16059.88359,16682.9153,17332.99363,18013.14789,18719.99171,19454.57238,20217.97832,21011.34065,21835.83486,22692.68259,23583.15339,24508.56666,25470.29356,26469.75903,27508.44397,28587.88736,29709.68859,30875.50978,32087.07831,33346.18932,34654.70839,36014.57433,37427.80201,,,
Botswana,Energy,4154.781697,4342.093871,4518.938742,4717.276214,4890.920477,5088.866595,5294.390086,5502.045108,5722.274162,5950.468952,6186.755396,6433.429491,6691.398263,6959.711112,7238.782816,7529.044786,7830.94573,8144.952351,8471.550064,8811.243749,9164.55853,9532.040588,9914.258006,10311.80164,10725.28606,11155.35044,11602.65962,12067.90508,12551.80603,13055.11053,13578.59662,14123.07354,,,
Namibia,Energy,4290.801597,4355.145617,4408.710882,4485.453734,4524.933747,4582.988204,4642.598351,4696.193935,4754.709153,4813.367579,4871.675289,4931.614306,4993.300995,5055.759288,5118.998834,5183.029408,5247.860903,5313.503337,5379.966854,5447.261724,5515.398347,5584.387251,5654.239097,5724.964679,5796.574926,5869.080904,5942.493817,6016.825009,6092.085967,6168.288321,6245.443845,6323.564463,,,
Zambia,Energy,13925,14390,14834,15337,15725,16197,16679,17151,17655,18169,18695,19241,19808.16861,20392.0557,20993.15408,21611.97109,22249.02902,22904.86556,23580.03425,24275.10495,24990.6643,25727.31626,26485.68257,27266.40332,28070.13743,28897.56329,29749.37924,30626.30425,31529.07845,32458.46381,33415.24474,34400.22878,,,
Angola_North,Energy,12687.18438,13102.32375,13496.13185,13936.70467,14279.64589,14698.06701,15124.69244,15545.57486,15994.352,16455.43566,16927.18495,17418.62465,17921.74997,18439.40773,18972.01769,19520.01173,20083.83421,20663.94233,21260.80648,21874.91066,22506.75282,23156.84532,23825.71531,24513.90516,25221.97292,25950.49274,26700.05537,27471.26861,28264.75783,29081.16646,29921.1565,30785.40909,,,
Angola_East,Energy,405.9899001,419.27436,431.8762193,445.9745496,456.9486685,470.3381442,483.9901582,497.4583955,511.8192642,526.573941,541.6699184,557.3959887,573.495999,590.0610474,607.104566,624.6403753,642.6826948,661.2461546,680.3458074,699.9971411,720.2160902,741.0190503,762.4228901,784.4449652,807.1031334,830.4157676,854.4017717,879.0805954,904.4722504,930.5973266,957.4770079,985.1330908,,,
Angola_Central,Energy,2054.115566,2121.328607,2185.088014,2256.418852,2311.942668,2379.687039,2448.759729,2516.902596,2589.561753,2664.213392,2740.591849,2820.158276,2901.616662,2985.427919,3071.660006,3160.382851,3251.668396,3345.590663,3442.225811,3541.652202,3643.950456,3749.203528,3857.496765,3968.917979,4083.55752,4201.508348,4322.866107,4447.729203,4576.198886,4708.379331,4844.377718,4984.304329,,,
