z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
South_Africa,Peak,33873,34408.95441,34953.38894,35506.43776,36068.23719,36638.92566,37218.64384,37807.53458,38405.74303,39013.41662,39630.7051,40257.7606,40894.73767,41541.79329,42199.08692,42866.78056,43545.03876,44234.02868,44933.92012,45644.88556,46367.10024,47100.74213,47845.99204,48603.03365,49372.05352,50153.24119,50946.78917
Lesotho,Peak,204,209.6882091,215.5350247,221.5448693,227.7222887,234.0719553,240.5986721,247.3073759,254.2031409,261.2911832,268.5768641,276.0656943,283.7633384,291.6756189,299.8085204,308.1681947,316.760965,325.5933307,334.6719727,344.0037578,353.5957446,363.4551885,373.5895469,384.0064855,394.7138835,405.7198399,417.0326796
Eswatini,Peak,260,266.7554136,273.6863487,280.7973659,288.0931442,295.5784839,303.2583105,311.137677,319.2217681,327.515903,336.025539,344.7562755,353.7138572,362.9041779,372.3332849,382.0073823,391.9328356,402.1161755,412.5641027,423.2834917,434.2813957,445.5650513,457.1418828,469.0195077,481.2057413,493.7086021,506.5363167
Zimbabwe,Peak,1841,1904.711953,1970.628802,2038.826852,2109.385049,2182.385071,2257.911424,2336.051536,2416.895863,2500.53799,2587.074741,2676.606292,2769.236283,2865.071944,2964.224215,3066.807872,3172.941669,3282.748464,3396.355372,3513.893902,3635.500118,3761.314791,3891.483564,4026.157121,4165.491359,4309.647573,4458.792638
Botswana,Peak,675.05,697.5110132,720.7193742,744.6999496,769.4784333,795.0813742,821.5362046,848.8712695,877.1158571,906.3002299,936.4556576,967.6144501,999.8099926,1033.076781,1067.450459,1102.967856,1139.667027,1177.587294,1216.769286,1257.254985,1299.087769,1342.31246,1386.975371,1433.124356,1480.808861,1530.079978,1580.990498
Namibia,Peak,672.0808558,679.4464298,686.8927258,694.4206283,702.0310319,709.7248405,717.5029684,725.3663395,733.3158882,741.3525588,749.4773061,757.6910954,765.9949026,774.3897141,782.8765274,791.4563508,800.1302034,808.8991159,817.7641301,826.7262991,835.7866877,844.9463723,854.2064412,863.5679945,873.0321445,882.6000154,892.272744
Zambia,Peak,2285.723187,2346.632942,2409.165814,2473.365057,2539.275076,2606.94146,2676.411011,2747.731781,2820.953101,2896.125617,2973.301323,3052.5336,3133.877253,3217.388544,3303.125237,3391.146633,3481.513617,3574.288692,3669.536029,3767.321509,3867.712768,3970.779245,4076.592228,4185.224907,4296.75242,4411.251908,4528.802569
Angola,Peak,2584.06,2705.99893,2833.692023,2967.410811,3107.439641,3254.076277,3407.632533,3568.434938,3736.825432,3913.162086,4097.819871,4291.191453,4493.688025,4705.740187,4927.798855,5160.336226,5403.846778,5658.848324,5925.883109,6205.518971,6498.350539,6805.000505,7126.120943,7462.394699,7814.536841,8183.296181,8569.456866
Tanzania,Peak,1890.203,1960.195176,2032.779087,2108.050702,2186.109543,2267.058819,2351.005559,2438.060757,2528.339514,2621.961196,2719.049588,2819.733059,2924.144729,3032.422651,3144.709988,3261.155203,3381.912259,3507.140818,3637.006456,3771.680878,3911.342149,4056.174925,4206.370703,4362.128068,4523.652961,4691.158945,4864.867496
DRC,Peak,929.5326948,958.9599809,989.3188805,1020.638887,1052.950426,1086.28489,1120.67466,1156.153148,1192.754818,1230.51523,1269.471066,1309.660173,1351.121592,1393.895603,1438.02376,1483.548933,1530.515348,1578.968634,1628.955861,1680.525591,1733.727923,1788.614543,1845.238771,1903.655619,1963.921835,2026.095968,2090.23842
Malawi,Peak,386.74,396.7987877,407.1191962,417.70803,428.5722707,439.7190812,451.1558111,462.8900008,474.9293871,487.2819079,499.9557076,512.9591423,526.3007857,539.9894341,554.0341129,568.4440823,583.228843,598.3981432,613.9619843,629.9306281,646.314603,663.1247117,680.3720373,698.0679517,716.2241221,734.8525195,753.9654262
DRC_South,Peak,2010,2071.301552,2134.472697,2199.570453,2266.653579,2335.782625,2407.019988,2480.429969,2556.078829,2634.034849,2714.368394,2797.151974,2882.460311,2970.370406,3060.961609,3154.315687,3250.516905,3349.652095,3451.810738,3557.085045,3665.570038,3777.363636,3892.566748,4011.283357,4133.620619,4259.688957,4389.602164
Mozambique_Central,Peak,286.7823877,296.134088,305.7907383,315.7622827,326.0589898,336.6914626,347.6706502,359.0078587,370.7147627,382.8034177,395.2862723,408.1761808,421.4864169,435.2306872,449.423145,464.0784053,479.2115597,494.8381918,510.9743935,527.6367814,544.8425138,562.6093088,580.955462,599.8998658,619.4620286,639.6620948,660.5208659
Mozambique_South,Peak,521.5428124,538.5498263,556.1114228,574.2456861,592.9712905,612.307519,632.2742835,652.8921451,674.1823356,696.1667788,718.8681138,742.3097177,766.51573,791.5110772,817.3214989,843.9735738,871.4947475,899.9133604,929.2586772,959.5609168,990.8512835,1023.161999,1056.526337,1090.978653,1126.554427,1163.290293,1201.224081
Mozambique_North,Peak,328.2676399,338.9721347,350.0256929,361.439697,373.225901,385.3964418,397.9638524,410.9410742,424.3414709,438.1788418,452.4674361,467.2219678,482.4576308,498.1901142,514.4356189,531.210874,548.5331542,566.4202974,584.8907234,603.9634523,623.6581247,643.9950216,664.9950853,686.6799411,709.0719194,732.1940787,756.0702296
Mozal,Peak,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
South_Africa,Energy,210648,213957.0579,217318.0977,220731.9358,224199.4018,227721.338,231298.6,234932.0571,238622.592,242371.1013,246178.4957,250045.7003,253973.6545,257963.3128,262015.6444,266131.6339,270312.2812,274558.6021,278871.6282,283252.4074,287702.004,292221.4991,296811.9907,301474.5941,306210.442,311020.6852,315906.4922
Lesotho,Energy,1043,1067.214994,1091.99218,1117.344609,1143.285638,1169.828931,1196.988471,1224.778566,1253.213854,1282.309315,1312.080276,1342.54242,1373.711793,1405.604816,1438.238289,1471.629402,1505.795747,1540.75532,1576.526538,1613.128246,1650.579723,1688.900699,1728.11136,1768.232364,1809.284843,1851.290424,1894.271236
Eswatini,Energy,1352,1384.703608,1418.198286,1452.503168,1487.637854,1523.622414,1560.477407,1598.223887,1636.88342,1676.47809,1717.030518,1758.563871,1801.101877,1844.668837,1889.289641,1934.98978,1981.795362,2029.733128,2078.830463,2129.115416,2180.616715,2233.363782,2287.386751,2342.716485,2399.384593,2457.42345,2516.866211
Zimbabwe,Energy,11302.30181,11673.4779,12056.84369,12452.79951,12861.75881,13284.14864,13720.41007,14170.99865,14636.38491,15117.05479,15613.51024,16126.26966,16655.86848,17202.85973,17767.81458,18351.32297,18953.99422,19576.45764,20219.36323,20883.38232,21569.2083,22277.55732,23009.16906,23764.80747,24545.26162,25351.34647,26183.90375
Botswana,Energy,4154.781697,4294.276682,4438.45515,4587.474348,4741.4968,4900.690489,5065.229037,5235.291894,5411.064539,5592.738672,5780.512436,5974.590622,6175.184899,6382.514041,6596.804169,6818.288994,7047.210076,7283.817084,7528.368068,7781.129746,8042.377786,8312.397116,8591.482227,8879.937499,9178.077531,9486.227485,9804.723439
Namibia,Energy,4290.801597,4335.869221,4381.410203,4427.429517,4473.932187,4520.923288,4568.407951,4616.39136,4664.878755,4713.875427,4763.386726,4813.418059,4863.974886,4915.062726,4966.687159,5018.853819,5071.568401,5124.836661,5178.664415,5233.057537,5288.021968,5343.563707,5399.688819,5456.40343,5513.713732,5571.625982,5630.146503
