z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
Azerbaijan,Peak,5248.31,5347.58,5448.73,5551.8,5656.81,5763.81,5872.83,5983.92,6097.1,6212.43,6329.94,6449.67,6571.66,6695.97,6822.62,6951.67,7083.17,7217.14,7353.66,7492.75,7634.48,7778.88,7926.02,8075.94,8228.7,8384.35,8542.94,8704.53,8869.18,9036.94
Azerbaijan,Energy,26665.62,27170.0,27683.92,28207.57,28741.11,29284.75,29838.68,30403.08,30978.16,31564.11,32161.15,32769.48,33389.32,34020.88,34664.38,35320.06,35988.15,36668.86,37362.46,38069.17,38789.25,39522.96,40270.54,41032.26,41808.38,42599.19,43404.96,44225.97,45062.51,45914.87
