gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Ntaruka,Rwanda,ReservoirHydro,Water,1959,2055,11.25,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Mukungwa_I,Rwanda,ReservoirHydro,Water,1982,2055,12,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Nyabarongo_I,Rwanda,ReservoirHydro,Water,2014,2055,28,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Gisenyi,Rwanda,ReservoirHydro,Water,1957,2055,1.7,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Gihira,Rwanda,ReservoirHydro,Water,1984,2055,1.8,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Murunda,Rwanda,ReservoirHydro,Water,2010,2055,0.1,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Rukarara_I,Rwanda,ReservoirHydro,Water,2010,2055,9,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Rugezi,Rwanda,ReservoirHydro,Water,2011,2055,2.6,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Keya,Rwanda,ReservoirHydro,Water,2011,2055,2.2,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Nyamyotsi_I,Rwanda,ReservoirHydro,Water,2011,2055,0.1,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Nyamyotsi_II,Rwanda,ReservoirHydro,Water,2011,2055,0.1,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Agatobwe,Rwanda,ReservoirHydro,Water,2010,2055,0.39,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Mutobo,Rwanda,ReservoirHydro,Water,2009,2055,0.2,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Nkora,Rwanda,ReservoirHydro,Water,2011,2055,0.68,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Cyimbili,Rwanda,ReservoirHydro,Water,2011,2055,0.3,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Gaseke,Rwanda,ReservoirHydro,Water,2017,2055,0.5,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Mazimeru,Rwanda,ReservoirHydro,Water,2012,2055,0.5,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Janja,Rwanda,ReservoirHydro,Water,2012,2055,0.2,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Gashashi,Rwanda,ReservoirHydro,Water,2013,2055,0.28,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Nyabahanga_I,Rwanda,ReservoirHydro,Water,2012,2055,0.2,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Nshili_I,Rwanda,ReservoirHydro,Water,2012,2055,0.4,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Rwaza_Muko,Rwanda,ReservoirHydro,Water,2018,2055,2.6,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Musarara,Rwanda,ReservoirHydro,Water,2013,2055,0.4,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Mukungwa_II,Rwanda,ReservoirHydro,Water,2013,2055,3.6,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Rukarara_II,Rwanda,ReservoirHydro,Water,2013,2055,2.2,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Nyirabuhombohombo,Rwanda,ReservoirHydro,Water,2013,2055,0.65,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Giciye_I,Rwanda,ReservoirHydro,Water,2013,2055,4,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Giciye_II,Rwanda,ReservoirHydro,Water,2016,2055,4,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Giciye_III,Rwanda,ReservoirHydro,Water,2020,2055,9.8,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Rukarara_V_Mushishito,Rwanda,ReservoirHydro,Water,2019,2055,5,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Rubagabaga,Rwanda,ReservoirHydro,Water,2019,2055,0.45,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Nyirantaruko,Rwanda,ReservoirHydro,Water,2020,2055,1.84,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Kigasa,Rwanda,ReservoirHydro,Water,2020,2055,0.27,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
Mukungu_MHPP,Rwanda,ReservoirHydro,Water,2020,2055,0.02,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,0,0,0,0,0
