zone,tech,fuel,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Rwanda,CCGT,Gas,0.928571429,0.919285714,0.91,0.891428571,0.882142857,0.872857143,0.872857143,0.863571429,0.863571429,0.854285714,0.854285714,0.845,0.845,0.845,0.835714286,0.835714286,0.835714286,0.835714286,0.826428571,0.826428571,0.823693315,0.820967111,0.818249931,0.815541743,0.812842518,0.810152228,0.807470842,0.80479833,0.802134664,0.799479814
Rwanda,CCGT,LNG,0.928571429,0.919285714,0.91,0.891428571,0.882142857,0.872857143,0.872857143,0.863571429,0.863571429,0.854285714,0.854285714,0.845,0.845,0.845,0.835714286,0.835714286,0.835714286,0.835714286,0.826428571,0.826428571,0.823693315,0.820967111,0.818249931,0.815541743,0.812842518,0.810152228,0.807470842,0.80479833,0.802134664,0.799479814
Rwanda,CCGT_CCS,Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,CSPPlant,CSP,0.951243666,0.903345572,0.871398858,0.840337758,0.811862193,0.785402215,0.761174335,0.739085667,0.718550459,0.700096071,0.68332084,0.668164304,0.654599867,0.642166655,0.631310994,0.621415331,0.612611196,0.604915836,0.59801985,0.591866098,0.582046879,0.572396962,0.562913257,0.553592734,0.543717422,0.535429409,0.526580844,0.517883923,0.509328761,0.500934094
Rwanda,Geothermal,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,ICE,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,ICE,HFO,0.925526932,0.922482436,0.919437939,0.916393443,0.913348946,0.91030445,0.907259953,0.904215457,0.90117096,0.898126464,0.895843091,0.893559719,0.891276347,0.888992974,0.886709602,0.884426229,0.882142857,0.879859485,0.877576112,0.87529274,0.873041542,0.870796135,0.868556503,0.866322631,0.864094504,0.861872108,0.859655427,0.857444449,0.855239156,0.853039535
Rwanda,Nuclear,Uranium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,OCGT,Gas,0.919285714,0.91,0.900714286,0.891428571,0.882142857,0.872857143,0.863571429,0.863571429,0.863571429,0.854285714,0.854285714,0.845,0.845,0.845,0.835714286,0.835714286,0.835714286,0.835714286,0.826428571,0.826428571,0.823693315,0.820967111,0.818249931,0.815541743,0.812842518,0.810152228,0.807470842,0.80479833,0.802134664,0.799479814
Rwanda,OCGT,HFO,0.925526932,0.922482436,0.919437939,0.916393443,0.913348946,0.91030445,0.907259953,0.904215457,0.90117096,0.898126464,0.895843091,0.893559719,0.891276347,0.888992974,0.886709602,0.884426229,0.882142857,0.879859485,0.877576112,0.87529274,0.873041542,0.870796135,0.868556503,0.866322631,0.864094504,0.861872108,0.859655427,0.857444449,0.855239156,0.853039535
Rwanda,OCGT,LNG,0.919285714,0.91,0.900714286,0.891428571,0.882142857,0.872857143,0.863571429,0.863571429,0.863571429,0.854285714,0.854285714,0.845,0.845,0.845,0.835714286,0.835714286,0.835714286,0.835714286,0.826428571,0.826428571,0.823693315,0.820967111,0.818249931,0.815541743,0.812842518,0.810152228,0.807470842,0.80479833,0.802134664,0.799479814
Rwanda,OCGT_CCS,Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,OffshoreWind,Wind,0.968253968,0.936507937,0.904761834,0.873015159,0.841198412,0.809523809,0.777777778,0.746031675,0.713571428,0.682539683,0.675396825,0.668253968,0.661031746,0.653968254,0.646825397,0.63968254,0.632539683,0.625396825,0.617539682,0.61031746,0.604392975,0.597748693,0.591098882,0.584678454,0.5782509,0.571822577,0.565606995,0.559389099,0.553239559,0.54715048
Rwanda,OnshoreWind,Wind,0.98,0.96,0.93,0.909285714,0.89,0.87,0.84,0.82,0.8,0.77,0.77,0.76,0.75,0.74,0.73,0.73,0.72,0.709285714,0.7,0.69,0.682472133,0.675026409,0.667661838,0.660377757,0.653165931,0.646046994,0.638998659,0.632027221,0.625124626,0.617596617
