gen,Q1,Q2,Q3,Q4
Beni-Suef-3_CCGT,0.95,0.95,0.95,0.95
Beni-Suef-4_CCGT,0.95,0.95,0.95,0.95
Burullus-1_CCGT,0.95,0.95,0.95,0.95
Burullus-2_CCGT,0.95,0.95,0.95,0.95
Burullus-3_CCGT,0.95,0.95,0.95,0.95
Burullus-4_CCGT,0.95,0.95,0.95,0.95
Cairo-North-1_CCGT,0.95,0.95,0.95,0.95
Cairo-North-2_CCGT,0.95,0.95,0.95,0.95
Cairo-South_CCGT,0.95,0.95,0.95,0.95
Daman-Hour_CCGT,0.95,0.95,0.95,0.95
Damietta-1_CCGT,0.95,0.95,0.95,0.95
Damietta-2_CCGT,0.95,0.95,0.95,0.95
El-Atf_CCGT,0.95,0.95,0.95,0.95
Giza-1_CCGT,0.95,0.95,0.95,0.95
Giza-2_CCGT,0.95,0.95,0.95,0.95
Giza-3_CCGT,0.95,0.95,0.95,0.95
Kuriemat-1_CCGT,0.95,0.95,0.95,0.95
Kuriemat-2_CCGT,0.95,0.95,0.95,0.95
Mahmoudeya_CCGT,0.95,0.95,0.95,0.95
New-Capital-1_CCGT,0.95,0.95,0.95,0.95
New-Capital-2_CCGT,0.95,0.95,0.95,0.95
New-Capital-3_CCGT,0.95,0.95,0.95,0.95
New-Capital-4_CCGT,0.95,0.95,0.95,0.95
New-Shabab-1_CCGT,0.95,0.95,0.95,0.95
New-Shabab-2_CCGT,0.95,0.95,0.95,0.95
New-Shabab-3_CCGT,0.95,0.95,0.95,0.95
Nubaria-1_CCGT,0.95,0.95,0.95,0.95
Nubaria-2_CCGT,0.95,0.95,0.95,0.95
Nubaria-3_CCGT,0.95,0.95,0.95,0.95
Sidi-Kirir_CCGT,0.95,0.95,0.95,0.95
Talkha_CCGT,0.95,0.95,0.95,0.95
Talkha-2_CCGT,0.95,0.95,0.95,0.95
West-Assiut-1_CCGT,0.95,0.95,0.95,0.95
West-Assiut-2_CCGT,0.95,0.95,0.95,0.95
West-Damietta_CCGT,0.95,0.95,0.95,0.95
West-Damietta-Ext_CCGT,0.95,0.95,0.95,0.95
Kuriemat_CSP,1,1,1,1
6Oct-1_GT,0.95,0.95,0.95,0.95
6Oct-2_GT,0.95,0.95,0.95,0.95
Abu-Qir_GT,0.95,0.95,0.95,0.95
Ataga-Ext-1_GT,0.95,0.95,0.95,0.95
Ataga-Ext-2_GT,0.95,0.95,0.95,0.95
Bany-Ghaleb_GT,0.95,0.95,0.95,0.95
Cairo-South_GT,0.95,0.95,0.95,0.95
East-Cario_GT,0.95,0.95,0.95,0.95
EL-Basateen_GT,0.95,0.95,0.95,0.95
El-Masaeed_GT,0.95,0.95,0.95,0.95
Gerga_GT,0.95,0.95,0.95,0.95
Heliopoles_GT,0.95,0.95,0.95,0.95
Hurgha-da_GT,0.95,0.95,0.95,0.95
Hurgha-da-Ext_GT,0.95,0.95,0.95,0.95
New-Assiut_GT,0.95,0.95,0.95,0.95
New-Gas-Damietta_GT,0.95,0.95,0.95,0.95
New-Mahmoudeya_GT,0.95,0.95,0.95,0.95
Port-Said_GT,0.95,0.95,0.95,0.95
Red-Assiut_GT,0.95,0.95,0.95,0.95
Samalout_GT,0.95,0.95,0.95,0.95
Shabab_GT,0.95,0.95,0.95,0.95
Sharm-El-Sheikh_GT,0.95,0.95,0.95,0.95
Sharm-El-Sheikh-Ext_GT,0.95,0.95,0.95,0.95
Shoub_GT,0.95,0.95,0.95,0.95
Wadi_GT,0.95,0.95,0.95,0.95
West-Malawy_GT,0.95,0.95,0.95,0.95
Benban_PV,0.98,0.98,0.98,0.98
Kom-Ombo_PV,0.98,0.98,0.98,0.98
Assiut_HY,0.55,0.55,0.55,0.55
Abu-Qir-New-1_ST,0.9,0.9,0.9,0.9
Abu-Qir-New-2_ST,0.9,0.9,0.9,0.9
Ain-Sokhna-1_ST,0.9,0.9,0.9,0.9
Ain-Sokhna-2_ST,0.9,0.9,0.9,0.9
Arish_ST,0.9,0.9,0.9,0.9
Cairo-West-Ext-1_ST,0.9,0.9,0.9,0.9
Cairo-West-Ext-2_ST,0.9,0.9,0.9,0.9
El-Tibeen_ST,0.9,0.9,0.9,0.9
Kuriemat-1_ST,0.9,0.9,0.9,0.9
Kuriemat-2_ST,0.9,0.9,0.9,0.9
Oyon-Mousa_ST,0.9,0.9,0.9,0.9
Port-Said-East_ST,0.9,0.9,0.9,0.9
Sidi-Kirir-1-2_ST,0.9,0.9,0.9,0.9
Sidi-Kirir-3-4_ST,0.9,0.9,0.9,0.9
South-Helwan-1_ST,0.9,0.9,0.9,0.9
South-Helwan-2_ST,0.9,0.9,0.9,0.9
South-Helwan-3_ST,0.9,0.9,0.9,0.9
Suez_ST,0.9,0.9,0.9,0.9
Suez-Gulf_ST,0.9,0.9,0.9,0.9
Talkha_ST,0.9,0.9,0.9,0.9
Walideya_ST,0.9,0.9,0.9,0.9
Aswan-Dam_HY,0.55,0.55,0.55,0.55
Aswan-Dam-2_HY,0.55,0.55,0.55,0.55
Esna_HY,0.55,0.55,0.55,0.55
High-Dam_HY,0.55,0.55,0.55,0.55
Naga-Hamadi_HY,0.55,0.55,0.55,0.55
Gabal-El-Zeit_WI,0.96,0.96,0.96,0.96
Ras-Gharib_WI,0.96,0.96,0.96,0.96
Zafarana_WI,0.96,0.96,0.96,0.96
Generic_GCCGT_1,0.9272,0.9272,0.9272,0.9272
Generic_GCCGT_2,0.9,0.9,0.9,0.9
Boku Geothermal,0.9,0.9,0.9,0.9
Dofan Geothermal,0.9,0.9,0.9,0.9
Dugna Fango Geothermal,0.9,0.9,0.9,0.9
Fentale Geothermal,0.9,0.9,0.9,0.9
Generic_Geothermal_1,0.893,0.893,0.893,0.893
Shashemene Geothermal,0.9,0.9,0.9,0.9
Tendaho-Alalobad Geothermal,0.9,0.9,0.9,0.9
Generic_GasCT_1,0.9272,0.9272,0.9272,0.9272
