zone,tech,fuel,Q1,Q2,Q3,Q4
Rwanda,CCGT,Gas,0.85,0.85,0.85,0.85
Rwanda,CCGT,LNG,0.85,0.85,0.85,0.85
Rwanda,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Rwanda,CSPPlant,CSP,1,1,1,1
Rwanda,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Rwanda,ICE,Diesel,0.85,0.85,0.85,0.85
Rwanda,ICE,HFO,0.85,0.85,0.85,0.85
Rwanda,Nuclear,Uranium,0.85,0.85,0.85,0.85
Rwanda,OCGT,Gas,0.85,0.85,0.85,0.85
Rwanda,OCGT,HFO,0.85,0.85,0.85,0.85
Rwanda,OCGT,LNG,0.85,0.85,0.85,0.85
Rwanda,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Rwanda,OffshoreWind,Wind,1,1,1,1
Rwanda,OnshoreWind,Wind,1,1,1,1
Rwanda,PV,Solar,1,1,1,1
Rwanda,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Rwanda,RPV,Solar,1,1,1,1
Rwanda,ST,Coal,0.65,0.65,0.65,0.65
Rwanda,ST,Gas,0.85,0.85,0.85,0.85
Rwanda,ST,Biomass,0.85,0.85,0.85,0.85
Rwanda,ST,Geothermal,0.85,0.85,0.85,0.85
Rwanda,Storage,Battery,1,1,1,1
Rwanda,Storage,Water,0.85,0.85,0.85,0.85
Rwanda,ST,Peat,0.85,0.85,0.85,0.85
Rwanda,Methane,Methane,0.85,0.85,0.85,0.85
Rwanda,ROR,Water,1,1,1,1
Rwanda,BiomassPlant,Biomass,0.85,0.85,0.85,0.85
Rwanda,Storage,Pumped,1,1,1,1
