gen,Q1,Q2,Q3,Q4
Ntaruka,0.55,0.55,0.55,0.55
Mukungwa_I,0.73,0.73,0.73,0.73
Nyabarongo_I,0.28,0.3,0.28,0.26
Gisenyi,0.8,0.8,0.8,0.8
Gihira,0.65,0.65,0.65,0.65
Murunda,0.49,0.49,0.49,0.49
Rukarara_I,0.53,0.53,0.53,0.53
Rugezi,0.4,0.4,0.4,0.4
Keya,0.37,0.37,0.37,0.37
Nyamyotsi_I,0.28,0.3,0.28,0.26
Nyamyotsi_II,0.35,0.35,0.35,0.35
Agatobwe,0.5,0.5,0.5,0.5
Mutobo,0.5,0.5,0.5,0.5
Nkora,0.28,0.3,0.28,0.26
Cyimbili,0.9,0.9,0.9,0.9
Gaseke,0.4,0.4,0.4,0.4
Mazimeru,0.6,0.6,0.6,0.6
Janja,0.5,0.5,0.5,0.5
Gashashi,0.4,0.4,0.4,0.4
Nyabahanga_I,0.69,0.69,0.69,0.69
Nshili_I,0.34,0.34,0.34,0.34
Rwaza_Muko,0.9,0.9,0.9,0.9
Musarara,0.45,0.45,0.45,0.45
Mukungwa_II,0.45,0.45,0.45,0.45
Rukarara_II,0.6,0.6,0.6,0.6
Nyirabuhombohombo,0.65,0.65,0.65,0.65
Giciye_I,0.4,0.4,0.4,0.4
Giciye_II,0.4,0.4,0.4,0.4
Giciye_III,0.7,0.7,0.7,0.7
Rukarara_V_Mushishito,0.6,0.6,0.6,0.6
Rubagabaga,0.5,0.5,0.5,0.5
Nyirantaruko,0.61,0.61,0.61,0.61
Kigasa,0.49,0.49,0.49,0.49
Mukungu_MHPP,0.62,0.62,0.62,0.62
Kavumu-Mwange,0.28,0.3,0.28,0.26
Ntaruka_A,0.55,0.59,0.54,0.53
Jabana_1,0.9,0.9,0.9,0.9
Jabana_2,0.9,0.9,0.9,0.9
SO_Energy,0.99,0.99,0.99,0.99
Gishoma,0.61,0.61,0.61,0.61
Hakan,0.98,0.98,0.98,0.98
Kivuwatt_Phase_I,0.92,0.92,0.92,0.92
KP1,0.28,0.3,0.28,0.26
SPLK,0,0,0,0
Jali,0.99,0.99,0.99,0.99
GigaWatt,0.99,0.99,0.99,0.99
Nasho_Solar,0.92,0.92,0.92,0.92
Kivuwatt Phase_2 extension,0.92,0.92,0.92,0.92
SPLK Phase_2 extension,0.9,0.9,0.9,0.9
Izuba CB Energy Rwanda,0.9,0.9,0.9,0.9
Nyirahindwe 1,0.55,0.59,0.54,0.53
Nyirahindwe 2,0.55,0.59,0.54,0.53
Muvumba Multipurpose Dam,0.9,0.9,0.9,0.9
Ngororero,0.55,0.59,0.54,0.53
Nyundo,0.55,0.59,0.54,0.53
Rwondo,0.92,0.92,0.92,0.92
Base 1,0,0,0,0
Kore,0.55,0.59,0.54,0.53
Rucanzogera,0.55,0.59,0.54,0.53
Rukore,0.55,0.59,0.54,0.53
Bihongore,0.55,0.59,0.54,0.53
Rukarara VI,0.28,0.3,0.28,0.26
Nyabarongo II,0.28,0.3,0.28,0.26
Rusizi III,0.28,0.3,0.28,0.26
Rusizi IV,0.28,0.3,0.28,0.26
PV_generic,1,1,1,1
ReservoirHydro_generic,0.28,0.3,0.28,0.26
ROR_generic,,,,
Wind_generic,,,,
OCGT_generic,,,,
CCGT_generic,,,,
Biomass_generic,,,,
Diesel_generic,,,,
BESS_generic,,,,
PSH_generic,,,,
Peat_generic,,,,
Methane_generic,,,,
