zone,tech,fuel,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,RE
Rwanda,CCGT,Gas,0.45,6.4,1,1,0,0.05,"30,000",2,0,0.9,30,0
Rwanda,OCGT,Gas,0,9,1,1,0,0.2,"20,000",4,0,0.8,30,0
Rwanda,OCGT,HFO,0,9.9,1,1,0,0.2,"20,000",4.4,0,0.8,30,0
Rwanda,OCGT,Diesel,0,9.9,1,1,0,0.2,"20,000",4.4,0,0.8,30,0
Rwanda,ST,Coal,0.3,8.5,0.5,0.5,0,0,"60,000",3,0,2,30,0
Rwanda,ST,Lignite,0.55,10.3,0.5,0.5,0,0,"60,000",3,0,2,30,0
Rwanda,ReservoirHydro,Water,0,0,1,1,0,45,"50,000",0.5,0,3.3,50,1
Rwanda,ROR,Water,0,0,1,1,0,40,"40,000",0.5,0,2.8,50,1
Rwanda,PV,Solar,0,0,1,1,0,0,"15,000",0,0,0.8,25,1
Rwanda,OnshoreWind,Wind,0,0,1,1,0,0,"40,000",0,0,1.3,30,1
Rwanda,OffshoreWind,Wind,0,0,1,1,0,0,"70,000",0,0,3,30,1
Rwanda,Biomass,Biomass,0,12.5,1,1,0,0.05,"100,000",2.5,0,2,30,1
Rwanda,Geothermal,Geothermal,0.95,11,1,1,0,0,"100,000",0,0,3.5,30,1
Rwanda,Nuclear,Uranium,0.75,12.5,0.15,0.15,0,0,"150,000",3.5,0,4,50,0
Rwanda,Storage,Battery,0,0,1,1,0,0.5,"40,000",0,0,0.3,20,0
Rwanda,Storage,Pumped,0,0,1,1,0,0.75,"50,000",0.5,0,2.9,50,0
