zone,tech,fuel,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,
Rwanda,OCGT,Coal,0.5,8.5,0.5,0.5,0,0.05,0.8,60000,4,0,30,0
Rwanda,OCGT,Gas,0.2,9,1,1,0,0.2,0.8,20000,4,0,30,0
Rwanda,CCGT,Gas,0.2,6.4,1,1,0,0.2,0.9,30000,2,0,30,0
Rwanda,ICE,HFO,0.06,9,1,1,0,0.2,1.019,18500,10,0,30,0
Rwanda,ROR,Water,0,0,1,1,0,0.4,2.8,40000,0.5,0,50,1
Rwanda,PV,Solar,0,0,1,1,0,0,0.8,15000,0,0,25,1
Rwanda,OnshoreWind,Wind,0,0,1,1,0,0,1.3,40000,0,0,30,1
Rwanda,OffshoreWind,Wind,0,0,1,1,0,0,3,70000,0,0,30,1
Rwanda,Storage,Battery,0,0,1,1,0,0,0.3,40000,0,0,20,0
Rwanda,Storage,Pumped,0,0,1,1,0,0,0.3,40000,0,0,40,0
Rwanda,ICE,Diesel,0.1,9.5,1,1,0,0.2,1.1,25000,15,0,25,0
Rwanda,ST,Peat,0.5,10,0.2,0.2,0,0.05,1.2,30000,10,0,35,0
Rwanda,Methane,Methane,0.1,8.5,1,1,0,0.2,1.05,20000,8,0,30,0
Rwanda,ReservoirHydro,Water,0,0,1,1,0,0.5,3,50000,1,0,60,1
