g,z,tech,fuel,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2,Unnamed: 31,MaxTotalBuild,MinUtilization,RETech
West Tripoli,Libya,OCGT,Gas,1,2000,2030,30,1400,0,0,0,9.5,0.0,20000,4.0,0,0.0,1,1,0,0.2,,,,,,,,,0.0,,0.0,0.0,0
Benghazi North,Libya,CCGT,Gas,1,1995,2030,30,915,0,0,0,7.0,0.0,30000,2.0,0,0.0,1,1,0,0.2,,,,,,,,,0.0,,0.0,0.0,0
Tobruk METKA,Libya,OCGT,Gas,1,2023,2053,30,760,0,0,0,9.0,0.0,20000,4.0,0,0.15,1,1,0,0.2,,,,,,,,12.0,9.9,,0.0,0.0,0
Zawiya CC,Libya,CCGT,Gas,1,2010,2040,30,1356,0,0,0,7.0,0.0,30000,2.0,0,0.15,1,1,0,0.2,,,,,,,,,0.0,,0.0,0.0,0
South Tripoli,Libya,OCGT,Gas,1,2005,2035,30,596,0,0,0,9.5,0.0,20000,4.0,0,0.15,1,1,0,0.2,,,,,,,,,0.0,,0.0,0.0,0
Misrata,Libya,OCGT,Gas,1,2023,2053,30,1340,0,0,0,9.0,0.0,20000,4.0,0,0.0,1,1,0,0.2,,,,,,,,12.0,9.9,,0.0,0.0,0
Gulf Plant,Libya,ST,HFO,1,2025,2055,30,1400,0,0,0,10.2,0.0,60000,4.2,0,0.15,1,1,0,0.2,,,,,,,,,0.0,,0.0,0.0,0
Al-Khoms,Libya,ST,HFO,1,2016,2046,30,1605,0,0,0,10.2,0.0,60000,4.2,0,0.0,1,1,0,0.2,,,,,,,,,0.0,,0.0,0.0,0
West Mountain,Libya,OCGT,Gas,1,2017,2047,30,900,0,0,0,9.5,0.0,20000,4.0,0,0.0,1,1,0,0.2,,,,,,,,,0.0,,0.0,0.0,0
Zwitena,Libya,ST,Gas,1,1994,2035,30,500,0,0,0,12.0,0.0,60000,2.5,0,0.0,1,1,0,0.2,,,,,,,,12.0,10.5,,0.0,0.0,0
Obari,Libya,OCGT,Gas,1,2015,2045,30,640,0,0,0,9.5,0.0,20000,4.0,0,0.15,1,1,0,0.2,,,,,,,,,0.0,,0.0,0.0,0
Alsari,Libya,OCGT,Gas,1,2016,2046,30,750,0,0,0,9.5,0.0,20000,4.0,0,0.0,1,1,0,0.2,,,,,,,,,0.0,,0.0,0.0,0
Derna,Libya,ST,Diesel,1,1985,2030,30,130,0,0,0,10.5,0.0,60000,4.0,0,0.0,1,1,0,0.2,,,,,,,,,0.0,,0.0,0.0,0
South Tripoli New,Libya,OCGT,Gas,2,2028,2058,30,1320,0,0,0,9.75,0.8,8100,4.05,0,0.0,1,1,0,0.2,,,,,,,,,0.0,,2910.0,0.05,0
Scada PV,Libya,PV,Solar,2,2028,2053,25,500,0,0,0,0.0,0.8,10000,0.0,0,0.0,1,1,0,0.0,,,,,,,,,0.0,,15.0,0.05,1
NGCC_GENC_LIB,Libya,CCGT,Gas,3,2029,2059,30,6000,0,500,0,7.7,1.01,30000,2.0,0,0.15,1,1,0,0.2,,,,,,,,,0.0,,10000.0,0.0,0
NGSC_GENC_LIB,Libya,OCGT,Gas,3,2027,2057,30,4000,0,400,0,10.9,0.8,24000,4.0,0,0.0,1,1,0,0.2,,,,,,,,,0.0,,10000.0,0.0,0
SOPC_GENC_LIB,Libya,PV,Solar,3,2030,2055,25,2500,0,200,0,0.0,1.14,75540,0.0,0,0.0,1,1,0,0.0,,,,,,,,,0.0,,2422.85,0.0,1
WDLC_GENC_LIB,Libya,OnshoreWind,Wind,3,2029,2059,30,500,0,50,0,0.0,1.31,35846,0.0,0,0.0,1,1,0,0.0,,,,,,,,,0.0,,2461.97,0.0,1
