z,tech,fuel,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
Libya,Storage,Battery,1,1,1,1,1,1,1,1,1,1,1,1
Libya,BiomassPlant,Biomass,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,ST,Biomass,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,ST,Coal,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Libya,CSPPlant,CSP,1,1,1,1,1,1,1,1,1,1,1,1
Libya,ICE,Diesel,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Libya,ST,Diesel,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Libya,CCGT,Gas,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,CCGT_CCS,Gas,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,OCGT,Gas,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,OCGT_CCS,Gas,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,ST,Gas,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,Geothermal,Geothermal,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,ST,Geothermal,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,ICE,HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,OCGT,HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,ST,HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,CCGT,LFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,OCGT,LFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,CCGT,LNG,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,OCGT,LNG,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,ICE,Methane,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,ST,Peat,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,Storage,Pumped,1,1,1,1,1,1,1,1,1,1,1,1
Libya,CSPPlant,Solar,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,PV,Solar,1,1,1,1,1,1,1,1,1,1,1,1
Libya,RPV,Solar,1,1,1,1,1,1,1,1,1,1,1,1
Libya,Nuclear,Uranium,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,ST,Uranium,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Libya,ST,Waste,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,ReservoirHydro,Water,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,ROR,Water,1,1,1,1,1,1,1,1,1,1,1,1
Libya,Storage,Water,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Libya,OffshoreWind,Wind,1,1,1,1,1,1,1,1,1,1,1,1
Libya,OnshoreWind,Wind,1,1,1,1,1,1,1,1,1,1,1,1
