Variable,country,zone,generator,fuel,year,baseline
Capacity: MW,Armenia,Armenia,Armenia_SHC,Reservoir,2030,561.4
Capacity: MW,Armenia,Armenia,Armenia_SHC,Reservoir,2031,561.4
Capacity: MW,Armenia,Armenia,Armenia_SHC,Reservoir,2032,561.4
Capacity: MW,Armenia,Armenia,Armenia_SHC,Reservoir,2033,561.4
Capacity: MW,Armenia,Armenia,Armenia_SHC,Reservoir,2034,561.4
Capacity: MW,Armenia,Armenia,Armenia_SHC,Reservoir,2035,561.4
Capacity: MW,Armenia,Armenia,Armenia_SHC,Reservoir,2036,561.4
Capacity: MW,Armenia,Armenia,Armenia_SHC,Reservoir,2037,561.4
Capacity: MW,Armenia,Armenia,Armenia_SHC,Reservoir,2038,561.4
Capacity: MW,Armenia,Armenia,Armenia_SHC,Reservoir,2039,561.4
Capacity: MW,Armenia,Armenia,Armenia_SHC,Reservoir,2040,561.4
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2025,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2026,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2027,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2028,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2029,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2030,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2031,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2032,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2033,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2034,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2035,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2036,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2037,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2038,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2039,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallHydro,ROR,2040,430.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2025,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2026,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2027,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2028,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2029,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2030,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2031,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2032,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2033,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2034,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2035,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2036,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2037,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2038,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2039,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallPV_Exist,PV,2040,197.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2027,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2028,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2029,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2030,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2031,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2032,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2033,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2034,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2035,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2036,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2037,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2038,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2039,435.0
Capacity: MW,Armenia,Armenia,Armenia_SmallSolar_Com,PV,2040,435.0
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2025,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2026,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2027,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2028,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2029,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2030,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2031,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2032,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2033,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2034,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2035,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2036,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2037,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2038,404.2
Capacity: MW,Armenia,Armenia,Armenia_Vorotan,Reservoir,2039,404.2
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2025,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2026,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2027,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2028,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2029,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2030,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2031,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2032,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2033,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2034,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2035,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2036,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2037,4.0
