z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Libya,energy,56856,60170,63678,67390,71318,75499,79387,83184,86918,90562,94082,97453,100159,102899,107397,110600,113465,116324,120072,123058,126000,126401,126801,127201,127602,128002,128402
Libya,peak,9770,10339,10942,11580,12255,12973,13641,14294,14935,15561,16166,16746,17210,17681,18454,19005,19497,19988,20632,21145,21651,21720,21788,21857,21926,21995,22064
