z,tech,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
KAZ_N,PV,Q1,d1,0,0,0,0,0,0,0.0822295,0.0822295,0.0822295,0.0822295,0.0822295,0.348984,0.348984,0.348984,0.199012,0.199012,0.199012,0.0197033,0.0197033,0.0197033,0.0197033,0,0,0
KAZ_N,PV,Q1,d2,0,0,0,0,0,0,0.0822295,0.0822295,0.0822295,0.0822295,0.0822295,0.348984,0.348984,0.348984,0.199012,0.199012,0.199012,0.0197033,0.0197033,0.0197033,0.0197033,0,0,0
KAZ_N,PV,Q1,d3,0,0,0,0,0,0,0.0822295,0.0822295,0.0822295,0.0822295,0.0822295,0.348984,0.348984,0.348984,0.199012,0.199012,0.199012,0.0197033,0.0197033,0.0197033,0.0197033,0,0,0
KAZ_N,PV,Q2,d1,0,0,0,0,0,0,0,0,0.0502282,0.242157,0.463692,0.634081,0.732495,0.767002,0.724634,0.620298,0.453892,0.236338,0.0246037,0,0,0,0,0
KAZ_N,PV,Q2,d2,0,0,0,0,0,0,0,0.0538014,0.245118,0.442866,0.594163,0.687882,0.743623,0.75567,0.725043,0.650823,0.531072,0.367626,0.173655,0.0158239,0,0,0,0
KAZ_N,PV,Q2,d3,0,0,0,0,0,0,0,0,0.0432861,0.189989,0.357417,0.482477,0.519842,0.340674,0.208774,0.158546,0.0758528,0.0177636,0,0,0,0,0,0
KAZ_N,PV,Q3a,d1,0,0,0,0,0,0,0.0380494,0.118573,0.264871,0.406746,0.520992,0.599746,0.656082,0.671617,0.645661,0.581655,0.493365,0.374792,0.228493,0.0856358,0.0250713,0,0,0
KAZ_N,PV,Q3a,d2,0,0,0,0,0,0,0.00717728,0.0490612,0.118573,0.276276,0.453742,0.50359,0.573986,0.589226,0.531217,0.38954,0.323568,0.270967,0.164881,0.0650872,0.00530922,0,0,0
KAZ_N,PV,Q3a,d3,0,0,0,0,0,0,0.0354931,0.125455,0.277849,0.414611,0.520992,0.599746,0.652543,0.667291,0.643891,0.583326,0.489039,0.358274,0.213745,0.0848493,0.0241865,0,0,0
KAZ_N,PV,Q3b,d1,0,0,0,0,0,0,0.0270695,0.107435,0.26545,0.420561,0.547666,0.638335,0.691537,0.704651,0.679454,0.611172,0.512167,0.379442,0.22433,0.0784922,0.0121766,0,0,0
KAZ_N,PV,Q3b,d2,0,0,0,0,0,0,0,0.00936662,0.0924485,0.101815,0.295329,0.451377,0.587193,0.61267,0.54139,0.470953,0.381877,0.271538,0.102658,0.00337198,0,0,0,0
KAZ_N,PV,Q3b,d3,0,0,0,0,0,0,0.0298795,0.109308,0.264513,0.433674,0.559843,0.641145,0.699031,0.706524,0.642082,0.562559,0.478447,0.383188,0.225267,0.0803656,0.0112399,0,0,0
KAZ_N,PV,Q4,d1,0,0,0,0,0,0,0,0,0,0.0131581,0.0974834,0.17431,0.236139,0.271652,0.28863,0.237978,0.116159,0,0,0,0,0,0,0
KAZ_N,PV,Q4,d2,0,0,0,0,0,0,0,0,0.0251844,0.272076,0.610792,0.746759,0.656067,0.593106,0.63343,0.554056,0.264436,0.047822,0,0,0,0,0,0
KAZ_N,PV,Q4,d3,0,0,0,0,0,0,0,0,0,0.00749872,0.0861645,0.207983,0.204305,0.211803,0.254815,0.262314,0.140495,0.0149974,0,0,0,0,0,0
KAZ_N,WT,Q1,d1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KAZ_N,WT,Q1,d2,0.410285,0.354299,0.318378,0.344617,0.427824,0.536289,0.605324,0.622864,0.628056,0.544988,0.429508,0.418142,0.440874,0.445224,0.468937,0.476795,0.398077,0.399761,0.484652,0.558178,0.599291,0.600133,0.586101,0.574735
KAZ_N,WT,Q1,d3,0.617392,0.539937,0.595643,0.743957,0.818745,0.783386,0.67871,0.508646,0.364542,0.27067,0.216227,0.205423,0.163188,0.127828,0.104676,0.104676,0.130494,0.210755,0.31964,0.401164,0.444662,0.42165,0.348125,0.254393
KAZ_N,WT,Q2,d1,0.331091,0.295051,0.260675,0.224635,0.224056,0.239543,0.24953,0.228471,0.190187,0.129759,0.076567,0.0526851,0.0482705,0.049935,0.0482705,0.0504416,0.0593431,0.0770736,0.100377,0.137502,0.187437,0.21349,0.224635,0.232958
KAZ_N,WT,Q2,d2,0.17774,0.28311,0.365032,0.420612,0.449343,0.458461,0.458968,0.437836,0.362644,0.314735,0.326749,0.331525,0.322913,0.311406,0.297005,0.276379,0.26111,0.257274,0.264945,0.322407,0.385151,0.429731,0.452672,0.46085
KAZ_N,WT,Q2,d3,0.491896,0.474745,0.464179,0.459764,0.476409,0.49139,0.507962,0.517949,0.517949,0.510206,0.516864,0.516864,0.514114,0.51462,0.494719,0.471416,0.446955,0.514114,0.542917,0.531265,0.476916,0.361052,0.235129,0.225721
KAZ_N,WT,Q3a,d1,0.682988,0.782806,0.835665,0.874141,0.911389,0.909053,0.716671,0.455694,0.909053,1,1,1,1,1,1,1,1,1,1,0.992029,0.880165,0.890982,0.911389,0.919871
KAZ_N,WT,Q3a,d2,0.150833,0.255076,0.356368,0.415251,0.449302,0.484459,0.485443,0.28716,0.0846974,0.0175787,0.0113094,0.0113094,0.0113094,0.010326,0.00934253,0.00725275,0.00516298,0.0030732,0.000983424,0.000983424,0.0030732,0.0682251,0.268598,0.449302
KAZ_N,WT,Q3a,d3,0.523059,0.648077,0.727488,0.739535,0.686553,0.592759,0.455694,0.2477,0.180335,0.404064,0.458153,0.527853,0.649306,0.770759,0.850047,0.848941,0.781577,0.716671,0.690118,0.6734,0.762277,0.894547,0.948636,0.954659
KAZ_N,WT,Q3b,d1,0.791978,0.784203,0.791978,0.782288,0.750176,0.725839,0.622743,0.60911,0.509845,0.24619,0.108053,0.0642236,0.0593786,0.077857,0.114814,0.167319,0.225684,0.283147,0.346357,0.433002,0.648996,0.820259,0.870849,0.896088
KAZ_N,WT,Q3b,d2,0.536886,0.525056,0.519084,0.509169,0.493395,0.511197,0.538126,0.531591,0.583533,0.507929,0.427594,0.382299,0.290133,0.202023,0.154587,0.146024,0.153911,0.171037,0.176333,0.194135,0.2605,0.325061,0.392102,0.459255
KAZ_N,WT,Q3b,d3,0.0301963,0.0203938,0.0301963,0.0816879,0.194586,0.332723,0.361004,0.240331,0.245176,0.217008,0.163488,0.132278,0.174192,0.3094,0.442692,0.550745,0.633447,0.66646,0.687868,0.762796,0.8553,0.888313,0.866004,0.836709
KAZ_N,WT,Q4,d1,0.427684,0.427684,0.427684,0.427684,0.427684,0.427684,0.395083,0.395083,0.395083,0.395083,0.395083,0.388756,0.388756,0.388756,0.393391,0.393391,0.393391,0.41932,0.41932,0.41932,0.41932,0.407225,0.407225,0.407225
KAZ_N,WT,Q4,d2,0.427684,0.427684,0.427684,0.427684,0.427684,0.427684,0.395083,0.395083,0.395083,0.395083,0.395083,0.388756,0.388756,0.388756,0.393391,0.393391,0.393391,0.41932,0.41932,0.41932,0.41932,0.407225,0.407225,0.407225
KAZ_N,WT,Q4,d3,0.427684,0.427684,0.427684,0.427684,0.427684,0.427684,0.395083,0.395083,0.395083,0.395083,0.395083,0.388756,0.388756,0.388756,0.393391,0.393391,0.393391,0.41932,0.41932,0.41932,0.41932,0.407225,0.407225,0.407225
KAZ_S,PV,Q1,d1,0,0,0,0,0,0,0.0822295,0.0822295,0.0822295,0.0822295,0.0822295,0.348984,0.348984,0.348984,0.199012,0.199012,0.199012,0.0197033,0.0197033,0.0197033,0.0197033,0,0,0
KAZ_S,PV,Q1,d2,0,0,0,0,0,0,0.0822295,0.0822295,0.0822295,0.0822295,0.0822295,0.348984,0.348984,0.348984,0.199012,0.199012,0.199012,0.0197033,0.0197033,0.0197033,0.0197033,0,0,0
KAZ_S,PV,Q1,d3,0,0,0,0,0,0,0.0822295,0.0822295,0.0822295,0.0822295,0.0822295,0.348984,0.348984,0.348984,0.199012,0.199012,0.199012,0.0197033,0.0197033,0.0197033,0.0197033,0,0,0
KAZ_S,PV,Q2,d1,0,0,0,0,0,0,0,0,0.0164747,0.121745,0.386737,0.566842,0.674625,0.628971,0.554137,0.400698,0.256196,0.115323,0.00376964,0,0,0,0,0
KAZ_S,PV,Q2,d2,0,0,0,0,0,0,0,0.0728797,0.3274,0.592252,0.794277,0.926074,0.992671,1,0.964469,0.859617,0.690681,0.461711,0.202164,0.0141012,0,0,0,0
KAZ_S,PV,Q2,d3,0,0,0,0,0,0,0,0,0.00502618,0.0379756,0.0823736,0.0684119,0.0698081,0.144503,0.152182,0.128028,0.046911,0.0254101,0,0,0,0,0,0
KAZ_S,PV,Q3a,d1,0,0,0,0,0,0,0.0278087,0.104421,0.235729,0.367958,0.480206,0.560225,0.609857,0.617684,0.592453,0.528088,0.436743,0.316669,0.181861,0.0626155,0.00865568,0,0,0
KAZ_S,PV,Q3a,d2,0,0,0,0,0,0,0.011326,0.084531,0.210038,0.354699,0.491624,0.59273,0.654609,0.662435,0.633614,0.56133,0.459303,0.32422,0.172561,0.0453042,0,0,0,0
