g,Q1,Q2,Q3,Q5,Q4
ABADAN _CITY-1_CHP_2023,0.768248,0.768248,0.768248,0.768248,0.768248
ABADAN _CITY-2_CCGT_2028,0.9,0.9,0.9,0.9,0.9
AKSUSKAYA_ST_2023,0.767706,0.767706,0.767706,0.767706,0.767706
ALMATY-1_CHP_2023,0.722015,0.722015,0.722015,0.722015,0.722015
ALMATY-2_CHP_2023,0.711243,0.711243,0.711243,0.711243,0.711243
ALMATY-3_CHP_2023,0.717232,0.717232,0.717232,0.717232,0.717232
ANGREN_ST_2023,0.572519,0.572519,0.572519,0.572519,0.572519
ASTANA-2_CHP_2023,0.565868,0.565868,0.565868,0.565868,0.565868
ATLAS _POWER_ICE_2029,0.85,0.85,0.85,0.85,0.85
BIN _QASIM_ST_2023,0.85,0.85,0.85,0.85,0.85
BIN _QASIM_ST_2024,0.85,0.85,0.85,0.85,0.85
BIN _QASIM_ST_2029,0.85,0.85,0.85,0.85,0.85
BIN _QASIM_ST_2031,0.85,0.85,0.85,0.85,0.85
BISHKEK_CHP_2023,0.465517,0.465517,0.465517,0.465517,0.465517
DUSHANBE-1_CHP_2023,0.522727,0.522727,0.522727,0.522727,0.522727
FAISALABAD _LIBERTY_ICE_2031,0.85,0.85,0.85,0.85,0.85
FAISALABAD_CCGT_2023,0.85,0.85,0.85,0.85,0.85
FERGANA_CHP_2023,0.722015,0.722015,0.722015,0.722015,0.722015
GUDDU_CCGT_2023,0.85,0.85,0.85,0.85,0.85
GUDDU_CCGT_2024,0.85,0.85,0.85,0.85,0.85
GUDDU_ST_2023,0.85,0.85,0.85,0.85,0.85
GUDDU_ST_2026,0.85,0.85,0.85,0.85,0.85
HABIBULLAH _COASTAL_CCGT_2029,0.85,0.85,0.85,0.85,0.85
JAMSHORO_ST_2029,0.85,0.85,0.85,0.85,0.85
JAMSHORO_ST_2030,0.85,0.85,0.85,0.85,0.85
KABIRWALA_CCGT_2029,0.85,0.85,0.85,0.85,0.85
KAPCHAGAY_HY_2031,0.433,0.38997,0.567507,0.439299,0.272634
KARACHI _TAPAL_ICE_2023,0.85,0.85,0.85,0.85,0.85
KARAGANDA _HPS-2_CHP_2023,0.741205,0.741205,0.741205,0.741205,0.741205
KARAGANDA _TPS-2_CHP_2023,0.722015,0.722015,0.722015,0.722015,0.722015
KARAGANDA _TPS-3_CHP_2023,0.564986,0.564986,0.564986,0.564986,0.564986
KAZ_N_CHP_2023,0.722015,0.722015,0.722015,0.722015,0.722015
KAZ_S_CHP_2023,0.722015,0.722015,0.722015,0.722015,0.722015
KOHINOOR_ICE_2023,0.85,0.85,0.85,0.85,0.85
KORANGI _KORANGI GUL _AHMED_ICE_2023,0.85,0.85,0.85,0.85,0.85
KOT _ADDU_CCGT_2023,0.85,0.85,0.85,0.85,0.85
KOT _ADDU_CCGT_2024,0.85,0.85,0.85,0.85,0.85
KOT _ADDU_CCGT_2025,0.85,0.85,0.85,0.85,0.85
KOT _ADDU_CCGT_2026,0.85,0.85,0.85,0.85,0.85
KOTRI_CCGT_2023,0.85,0.85,0.85,0.85,0.85
LIBERTY _DAHARKI_CCGT_2031,0.85,0.85,0.85,0.85,0.85
MARY_CHP_2023,0.732461,0.732461,0.732461,0.732461,0.732461
MORGAH_ICE_2029,0.85,0.85,0.85,0.85,0.85
