Data,Unit,Source,Value
,,,
Energy Demand,,,
Annual Peak Demand,MW/year,,
Annual Energy Demand,GWh/MW,,
Load Curve,MW,,
Projection for Export Demand (Peak and Energy),MW,,
Hydropower Plants,,,
,,,
Selected Hydropower Plants,,,
Hydropower Production,GWh per month,,
Installed Capacity (Qturb),MW,,
Reservoir Capacity,,,
Installation Cost,$/MW,,
Fixed Maintenance Cost (FOM),$/MW.year,,
,,,
Solar PV Power Plants,,,
Solar Production,Wh,,
Installation Cost,$/MW,,
Fixed Maintenance Cost (FOM),$/MW.year,,
,,,
Wind Power Plants,,,
Solar Production,Wh,,
Installation Cost,$/MW,,
Fixed Maintenance Cost (FOM),$/MW.year,,
,,,
Battery Energy Storage,,,
Installation Cost,$/MW + $/MWh,,
Fixed Maintenance Cost (FOM),$/MW.year,,
,,,
Thermal Power Plants,,,
Existing Thermal Plants,,,
IPP Cost,,,
"Leasing Cost (Agreko, Karpowerhship)",,,
Efficiency,MMBTu/MWh,,
Fuel Price (HFO),$/MMBTu,,
Availability,%,,
,,,
New Thermal Plants,,,
Installation Cost,$/MW,,
Fixed Maintenance Cost (FOM),$/MW,,
Variable Maintenance Cost (VOM),$/MWh,,
